DATE,TMIN,TMIN
"
1/1/2015",84°,68°
"
1/2/2015",85°,64°
"
1/3/2015",83°,66°
"
1/4/2015",84°,66°
"
1/5/2015",83°,65°
"
1/6/2015",81°,65°
"
1/7/2015",83°,63°
"
1/8/2015",82°,64°
"
1/9/2015",81°,67°
"
1/10/2015",83°,62°
"
1/11/2015",83°,55°
"
1/12/2015",80°,57°
"
1/13/2015",81°,57°
"
1/14/2015",81°,57°
"
1/15/2015",81°,58°
"
1/16/2015",83°,60°
"
1/17/2015",82°,63°
"
1/18/2015",83°,61°
"
1/19/2015",83°,60°
"
1/20/2015",81°,60°
"
1/21/2015",81°,60°
"
1/22/2015",85°,58°
"
1/23/2015",84°,63°
"
1/24/2015",79°,64°
"
1/25/2015",85°,64°
"
1/26/2015",83°,59°
"
1/27/2015",82°,59°
"
1/28/2015",83°,63°
"
1/29/2015",83°,63°
"
1/30/2015",83°,64°
"
1/31/2015",86°,62°
"
2/1/2015",85°,61°
"
2/2/2015",82°,62°
"
2/3/2015",83°,59°
"
2/4/2015",83°,59°
"
2/5/2015",85°,61°
"
2/6/2015",86°,61°
"
2/7/2015",86°,61°
"
2/8/2015",87°,60°
"
2/9/2015",86°,60°
"
2/10/2015",84°,58°
"
2/11/2015",87°,60°
"
2/12/2015",88°,65°
"
2/13/2015",90°,64°
"
2/14/2015",91°,64°
"
2/15/2015",91°,62°
"
2/16/2015",91°,63°
"
2/17/2015",90°,62°
"
2/18/2015",92°,63°
"
2/19/2015",90°,65°
"
2/20/2015",89°,62°
"
2/21/2015",88°,63°
"
2/22/2015",88°,63°
"
2/23/2015",88°,61°
"
2/24/2015",89°,60°
"
2/25/2015",90°,63°
"
2/26/2015",92°,63°
"
2/27/2015",92°,68°
"
2/28/2015",90°,71°
"
3/1/2015",91°,69°
"
3/2/2015",90°,71°
"
3/3/2015",83°,68°
"
3/4/2015",89°,68°
"
3/5/2015",90°,68°
"
3/6/2015",88°,71°
"
3/7/2015",89°,69°
"
3/8/2015",89°,68°
"
3/9/2015",87°,67°
"
3/10/2015",89°,67°
"
3/11/2015",87°,62°
"
3/12/2015",86°,65°
"
3/13/2015",88°,65°
"
3/14/2015",91°,65°
"
3/15/2015",90°,69°
"
3/16/2015",90°,68°
"
3/17/2015",92°,66°
"
3/18/2015",95°,65°
"
3/19/2015",93°,67°
"
3/20/2015",94°,67°
"
3/21/2015",94°,67°
"
3/22/2015",96°,67°
"
3/23/2015",96°,72°
"
3/24/2015",96°,73°
"
3/25/2015",94°,72°
"
3/26/2015",93°,70°
"
3/27/2015",94°,68°
"
3/28/2015",94°,68°
"
3/29/2015",94°,68°
"
3/30/2015",93°,70°
"
3/31/2015",91°,72°
"
4/1/2015",92°,71°
"
4/2/2015",95°,72°
"
4/3/2015",95°,73°
"
4/4/2015",97°,73°
"
4/5/2015",98°,78°
"
4/6/2015",96°,77°
"
4/7/2015",96°,73°
"
4/8/2015",94°,75°
"
4/9/2015",95°,73°
"
4/10/2015",95°,75°
"
4/11/2015",94°,70°
"
4/12/2015",84°,68°
"
4/13/2015",83°,66°
"
4/14/2015",87°,65°
"
4/15/2015",85°,68°
"
4/16/2015",87°,66°
"
4/17/2015",87°,67°
"
4/18/2015",88°,68°
"
4/19/2015",90°,71°
"
4/20/2015",89°,71°
"
4/21/2015",90°,71°
"
4/22/2015",92°,73°
"
4/23/2015",89°,68°
"
4/24/2015",92°,65°
"
4/25/2015",88°,68°
"
4/26/2015",87°,67°
"
4/27/2015",88°,69°
"
4/28/2015",91°,72°
"
4/29/2015",91°,71°
"
4/30/2015",92°,69°
"
5/1/2015",93°,68°
"
5/2/2015",92°,72°
"
5/3/2015",90°,68°
"
5/4/2015",88°,72°
"
5/5/2015",89°,70°
"
5/6/2015",87°,73°
"
5/7/2015",89°,72°
"
5/8/2015",92°,72°
"
5/9/2015",92°,74°
"
5/10/2015",88°,75°
"
5/11/2015",89°,74°
