DATE,TMIN,TMIN

20150101,84°,68°

20150102,85°,64°

20150103,83°,66°

20150104,84°,66°

20150105,83°,65°

20150106,81°,65°

20150107,83°,63°

20150108,82°,64°

20150109,81°,67°

20150110,83°,62°

20150111,83°,55°

20150112,80°,57°

20150113,81°,57°

20150114,81°,57°

20150115,81°,58°

20150116,83°,60°

20150117,82°,63°

20150118,83°,61°

20150119,83°,60°

20150120,81°,60°

20150121,81°,60°

20150122,85°,58°

20150123,84°,63°

20150124,79°,64°

20150125,85°,64°

20150126,83°,59°

20150127,82°,59°

20150128,83°,63°

20150129,83°,63°

20150130,83°,64°

20150131,86°,62°

20150201,85°,61°

20150202,82°,62°

20150203,83°,59°

20150204,83°,59°

20150205,85°,61°

20150206,86°,61°

20150207,86°,61°

20150208,87°,60°

20150209,86°,60°

20150210,84°,58°

20150211,87°,60°

20150212,88°,65°

20150213,90°,64°

20150214,91°,64°

20150215,91°,62°

20150216,91°,63°

20150217,90°,62°

20150218,92°,63°

20150219,90°,65°

20150220,89°,62°

20150221,88°,63°

20150222,88°,63°

20150223,88°,61°

20150224,89°,60°

20150225,90°,63°

20150226,92°,63°

20150227,92°,68°

20150228,90°,71°

20150301,91°,69°

20150302,90°,71°

20150303,83°,68°

20150304,89°,68°

20150305,90°,68°

20150306,88°,71°

20150307,89°,69°

20150308,89°,68°

20150309,87°,67°

20150310,89°,67°

20150311,87°,62°

20150312,86°,65°

20150313,88°,65°

20150314,91°,65°

20150315,90°,69°

20150316,90°,68°

20150317,92°,66°

20150318,95°,65°

20150319,93°,67°

20150320,94°,67°

20150321,94°,67°

20150322,96°,67°

20150323,96°,72°

20150324,96°,73°

20150325,94°,72°

20150326,93°,70°

20150327,94°,68°

20150328,94°,68°

20150329,94°,68°

20150330,93°,70°

20150331,91°,72°

20150401,92°,71°

20150402,95°,72°

20150403,95°,73°

20150404,97°,73°

20150405,98°,78°

20150406,96°,77°

20150407,96°,73°

20150408,94°,75°

20150409,95°,73°

20150410,95°,75°

20150411,94°,70°

20150412,84°,68°

20150413,83°,66°

20150414,87°,65°

20150415,85°,68°

20150416,87°,66°

20150417,87°,67°

20150418,88°,68°

20150419,90°,71°

20150420,89°,71°

20150421,90°,71°

20150422,92°,73°

20150423,89°,68°

20150424,92°,65°

20150425,88°,68°

20150426,87°,67°

20150427,88°,69°

20150428,91°,72°

20150429,91°,71°

20150430,92°,69°

20150501,93°,68°

20150502,92°,72°

20150503,90°,68°

20150504,88°,72°

20150505,89°,70°

20150506,87°,73°

20150507,89°,72°

20150508,92°,72°

20150509,92°,74°

20150510,88°,75°

20150511,89°,74°

20150512,90°,72°

20150513,83°,72°

20150514,85°,72°

20150515,88°,72°

20150516,86°,71°

20150517,85°,69°

20150518,88°,67°

20150519,90°,68°

20150520,91°,66°

20150521,90°,72°

20150522,90°,73°

20150523,88°,72°

20150524,92°,72°

20150525,91°,72°

20150526,90°,73°

20150527,86°,73°

20150528,83°,66°

20150529,90°,68°

20150530,90°,67°

20150531,90°,68°

20150601,88°,68°

20150602,83°,69°

20150603,87°,71°

20150604,85°,70°

20150605,87°,68°

20150606,90°,71°

20150607,88°,71°

20150608,88°,70°

20150609,87°,70°

20150610,90°,70°

20150611,89°,70°

20150612,84°,69°

20150613,85°,69°

20150614,81°,68°

20150615,84°,67°

20150616,83°,70°

20150617,81°,69°

20150618,81°,69°

20150619,80°,70°

20150620,83°,69°

20150621,78°,69°

20150622,84°,69°

20150623,83°,69°

20150624,87°,70°

20150625,87°,70°

20150626,81°,71°

20150627,84°,69°

20150628,87°,70°

20150629,90°,70°

20150630,87°,69°

20150701,87°,69°

20150702,85°,69°

20150703,86°,69°

20150704,87°,69°

20150705,88°,69°

20150706,87°,69°

20150707,87°,67°

20150708,86°,68°

20150709,85°,69°

20150710,84°,70°

20150711,83°,68°

20150712,88°,67°

20150713,89°,69°

20150714,86°,71°

20150715,83°,71°

20150716,87°,68°

20150717,82°,69°

20150718,83°,69°

20150719,80°,68°

20150720,84°,66°

20150721,82°,68°

20150722,84°,68°

